% Table with all audio signal features available
% for computation in Amuse. If you wish to use
% some subset of features, please create a copy
% of this file and leave only the features you
% want to extract.

@relation features

% Unique feature ID
@attribute Id numeric
% Feature description
@attribute Description string
% Minimal possible values for this feature (for normalization)
@attribute Min string
% Maximum possible values for this feature (for normalization)
@attribute Max string

@data

% Timbre features
2069, "Strings 2nd best J48 Chord-based model", "0", "1"
2070, "Strings 2nd best RF Chord-based model", "0", "1"
2071, "Strings 2nd best NB Chord-based model", "0", "1"
2072, "Strings 2nd best SVM Chord-based model", "0", "1"

4000, "AMG Mood Aggressive Best J48 Model", "0", "1"
4001, "AMG Mood Aggressive 2nd Best J48 Model", "0", "1"
4002, "AMG Mood Aggressive Best RF Model", "0", "1"
4003, "AMG Mood Aggressive 2nd Best RF Model", "0", "1"
4004, "AMG Mood Aggressive Best NB Model", "0", "1"
4005, "AMG Mood Aggressive 2nd Best NB Model", "0", "1"
4006, "AMG Mood Aggressive Best SVM Model", "0", "1"
4007, "AMG Mood Aggressive 2nd Best SVM Model", "0", "1"

4020, "AMG Mood Energetic Best J48 Model", "0", "1"
4021, "AMG Mood Energetic 2nd Best J48 Model", "0", "1"
4022, "AMG Mood Energetic Best RF Model", "0", "1"
4023, "AMG Mood Energetic 2nd Best RF Model", "0", "1"
4024, "AMG Mood Energetic Best NB Model", "0", "1"
4025, "AMG Mood Energetic 2nd Best NB Model", "0", "1"
4026, "AMG Mood Energetic Best SVM Model", "0", "1"
4027, "AMG Mood Energetic 2nd Best SVM Model", "0", "1"

4040, "AMG Mood Sentimental Best J48 Model", "0", "1"
4041, "AMG Mood Sentimental 2nd Best J48 Model", "0", "1"
4042, "AMG Mood Sentimental Best RF Model", "0", "1"
4043, "AMG Mood Sentimental 2nd Best RF Model", "0", "1"
4044, "AMG Mood Sentimental Best NB Model", "0", "1"
4045, "AMG Mood Sentimental 2nd Best NB Model", "0", "1"
4046, "AMG Mood Sentimental Best SVM Model", "0", "1"
4047, "AMG Mood Sentimental 2nd Best SVM Model", "0", "1"

4060, "AMG Mood Stylish Best J48 Model", "0", "1"
4061, "AMG Mood Stylish 2nd Best J48 Model", "0", "1"
4062, "AMG Mood Stylish Best RF Model", "0", "1"
4063, "AMG Mood Stylish 2nd Best RF Model", "0", "1"
4064, "AMG Mood Stylish Best NB Model", "0", "1"
4065, "AMG Mood Stylish 2nd Best NB Model", "0", "1"
4066, "AMG Mood Stylish Best SVM Model", "0", "1"
4067, "AMG Mood Stylish 2nd Best SVM Model", "0", "1"

4080, "AMG Mood Reflective Best J48 Model", "0", "1"
4081, "AMG Mood Reflective 2nd Best J48 Model", "0", "1"
4082, "AMG Mood Reflective Best RF Model", "0", "1"
4083, "AMG Mood Reflective 2nd Best RF Model", "0", "1"
4084, "AMG Mood Reflective Best NB Model", "0", "1"
4085, "AMG Mood Reflective 2nd Best NB Model", "0", "1"
4086, "AMG Mood Reflective Best SVM Model", "0", "1"
4087, "AMG Mood Reflective 2nd Best SVM Model", "0", "1"

4100, "AMG Mood Confident Best J48 Model", "0", "1"
4101, "AMG Mood Confident 2nd Best J48 Model", "0", "1"
4102, "AMG Mood Confident Best RF Model", "0", "1"
4103, "AMG Mood Confident 2nd Best RF Model", "0", "1"
4104, "AMG Mood Confident Best NB Model", "0", "1"
4105, "AMG Mood Confident 2nd Best NB Model", "0", "1"
4106, "AMG Mood Confident Best SVM Model", "0", "1"
4107, "AMG Mood Confident 2nd Best SVM Model", "0", "1"

4120, "AMG Mood Earnest Best J48 Model", "0", "1"
4121, "AMG Mood Earnest 2nd Best J48 Model", "0", "1"
4122, "AMG Mood Earnest Best RF Model", "0", "1"
4123, "AMG Mood Earnest 2nd Best RF Model", "0", "1"
4124, "AMG Mood Earnest Best NB Model", "0", "1"
4125, "AMG Mood Earnest 2nd Best NB Model", "0", "1"
4126, "AMG Mood Earnest Best SVM Model", "0", "1"
4127, "AMG Mood Earnest 2nd Best SVM Model", "0", "1"

4140, "AMG Mood PartyCelebratory Best J48 Model", "0", "1"
4141, "AMG Mood PartyCelebratory 2nd Best J48 Model", "0", "1"
4142, "AMG Mood PartyCelebratory Best RF Model", "0", "1"
4143, "AMG Mood PartyCelebratory 2nd Best RF Model", "0", "1"
4144, "AMG Mood PartyCelebratory Best NB Model", "0", "1"
4145, "AMG Mood PartyCelebratory 2nd Best NB Model", "0", "1"
4146, "AMG Mood PartyCelebratory Best SVM Model", "0", "1"
4147, "AMG Mood PartyCelebratory 2nd Best SVM Model", "0", "1"

% GFKL 2011

6000, "GFKL2011 Aktivierungsgrad_Hoch Best J48 Model", "0", "1"
6001, "GFKL2011 Aktivierungsgrad_Hoch 2nd Best J48 Model", "0", "1"
6002, "GFKL2011 Aktivierungsgrad_Hoch Best RF Model", "0", "1"
6003, "GFKL2011 Aktivierungsgrad_Hoch 2nd Best RF Model", "0", "1"
6004, "GFKL2011 Aktivierungsgrad_Hoch Best NB Model", "0", "1"
6005, "GFKL2011 Aktivierungsgrad_Hoch 2nd Best NB Model", "0", "1"
6006, "GFKL2011 Aktivierungsgrad_Hoch Best SVM Model", "0", "1"
6007, "GFKL2011 Aktivierungsgrad_Hoch 2nd Best SVM Model", "0", "1"

6020, "GFKL2011 Effekte_Distortion Best J48 Model", "0", "1"
6021, "GFKL2011 Effekte_Distortion 2nd Best J48 Model", "0", "1"
6022, "GFKL2011 Effekte_Distortion Best RF Model", "0", "1"
6023, "GFKL2011 Effekte_Distortion 2nd Best RF Model", "0", "1"
6024, "GFKL2011 Effekte_Distortion Best NB Model", "0", "1"
6025, "GFKL2011 Effekte_Distortion 2nd Best NB Model", "0", "1"
6026, "GFKL2011 Effekte_Distortion Best SVM Model", "0", "1"
6027, "GFKL2011 Effekte_Distortion 2nd Best SVM Model", "0", "1"

6040, "GFKL2011 Gesang_Klar Best J48 Model", "0", "1"
6041, "GFKL2011 Gesang_Klar 2nd Best J48 Model", "0", "1"
6042, "GFKL2011 Gesang_Klar Best RF Model", "0", "1"
6043, "GFKL2011 Gesang_Klar 2nd Best RF Model", "0", "1"
6044, "GFKL2011 Gesang_Klar Best NB Model", "0", "1"
6045, "GFKL2011 Gesang_Klar 2nd Best NB Model", "0", "1"
6046, "GFKL2011 Gesang_Klar Best SVM Model", "0", "1"
6047, "GFKL2011 Gesang_Klar 2nd Best SVM Model", "0", "1"

6060, "GFKL2011 Gesang_Lage_Mittel Best J48 Model", "0", "1"
6061, "GFKL2011 Gesang_Lage_Mittel 2nd Best J48 Model", "0", "1"
6062, "GFKL2011 Gesang_Lage_Mittel Best RF Model", "0", "1"
6063, "GFKL2011 Gesang_Lage_Mittel 2nd Best RF Model", "0", "1"
6064, "GFKL2011 Gesang_Lage_Mittel Best NB Model", "0", "1"
6065, "GFKL2011 Gesang_Lage_Mittel 2nd Best NB Model", "0", "1"
6066, "GFKL2011 Gesang_Lage_Mittel Best SVM Model", "0", "1"
6067, "GFKL2011 Gesang_Lage_Mittel 2nd Best SVM Model", "0", "1"

6080, "GFKL2011 Gesang_Rau Best J48 Model", "0", "1"
6081, "GFKL2011 Gesang_Rau 2nd Best J48 Model", "0", "1"
6082, "GFKL2011 Gesang_Rau Best RF Model", "0", "1"
6083, "GFKL2011 Gesang_Rau 2nd Best RF Model", "0", "1"
6084, "GFKL2011 Gesang_Rau Best NB Model", "0", "1"
6085, "GFKL2011 Gesang_Rau 2nd Best NB Model", "0", "1"
6086, "GFKL2011 Gesang_Rau Best SVM Model", "0", "1"
6087, "GFKL2011 Gesang_Rau 2nd Best SVM Model", "0", "1"

6100, "GFKL2011 Gesang_Solo_Einstimmig Best J48 Model", "0", "1"
6101, "GFKL2011 Gesang_Solo_Einstimmig 2nd Best J48 Model", "0", "1"
6102, "GFKL2011 Gesang_Solo_Einstimmig Best RF Model", "0", "1"
6103, "GFKL2011 Gesang_Solo_Einstimmig 2nd Best RF Model", "0", "1"
6104, "GFKL2011 Gesang_Solo_Einstimmig Best NB Model", "0", "1"
6105, "GFKL2011 Gesang_Solo_Einstimmig 2nd Best NB Model", "0", "1"
6106, "GFKL2011 Gesang_Solo_Einstimmig Best SVM Model", "0", "1"
6107, "GFKL2011 Gesang_Solo_Einstimmig 2nd Best SVM Model", "0", "1"

6120, "GFKL2011 Gesang_Solo_Frau Best J48 Model", "0", "1"
6121, "GFKL2011 Gesang_Solo_Frau 2nd Best J48 Model", "0", "1"
6122, "GFKL2011 Gesang_Solo_Frau Best RF Model", "0", "1"
6123, "GFKL2011 Gesang_Solo_Frau 2nd Best RF Model", "0", "1"
