% Feature correlation 

@relation 'Feature correlation'

@attribute 'First feature id' numeric
@attribute 'First feature dimension' numeric
@attribute 'Second feature id' numeric
@attribute 'Second feature dimension' numeric
@attribute 'Correlation coefficient' numeric

@data
1,3,40,21,0.23224
1,3,40,22,0.19633
1,3,40,23,0.17674
1,3,41,1,0.1237
1,3,41,2,0.12758
1,3,41,3,0.13273
1,3,41,4,0.12257
1,3,41,5,0.11593
1,3,41,6,0.121
1,3,41,7,0.12869
1,3,41,8,0.12381
1,3,42,1,0.11008
1,3,42,2,0.11793
1,3,42,3,0.12766
1,3,42,4,0.13734
1,3,42,5,0.13341
1,3,42,6,0.093625
1,3,42,7,0.10201
1,3,42,8,0.11507
1,3,42,9,0.12977
1,3,42,10,0.12986
1,3,60,1,0.054132
1,3,60,2,0.052602
1,3,60,3,0.055113
1,3,60,4,0.056842
1,3,60,5,0.064064
1,3,60,6,0.078884
1,3,60,7,0.078987
1,3,60,8,0.093509
1,3,60,9,0.10791
1,3,60,10,0.10405
1,3,61,1,0.090837
1,3,61,2,0.10058
1,3,61,3,0.098513
1,3,61,4,0.11691
1,3,61,5,0.14547
1,3,61,6,0.16322
1,3,61,7,0.2056
1,3,61,8,0.26062
1,3,61,9,0.28603
1,3,61,10,0.23492
1,3,62,1,0.025048
1,3,62,2,0.026049
1,3,62,3,0.030608
1,3,62,4,0.034322
1,3,62,5,0.044046
1,3,62,6,0.075949
1,3,62,7,0.14023
1,3,62,8,0.23954
1,3,62,9,0.22968
1,3,62,10,0.30307
1,3,200,1,0.19281
1,3,201,1,0.12999
1,3,202,1,0.038478
1,3,202,2,0.11373
1,3,203,1,0.038656
1,3,204,1,0.14708
1,3,204,2,0.16667
1,3,204,3,0.19935
1,3,204,4,0.14714
1,3,204,5,0.16369
1,3,204,6,0.15417
1,3,204,7,0.20531
1,3,204,8,0.17896
1,3,204,9,0.13393
1,3,204,10,0.17264
1,3,204,11,0.15347
1,3,204,12,0.18556
1,3,204,13,0.094587
1,3,204,14,0.10463
1,3,204,15,0.20362
1,3,204,16,0.12787
1,3,204,17,0.10806
1,3,204,18,0.086453
1,3,204,19,0.21462
1,3,204,20,0.14358
1,3,204,21,0.165
1,3,204,22,0.15125
1,3,204,23,0.095028
1,3,204,24,0.18192
1,3,205,1,0.11567
1,3,206,1,0.093269
1,3,206,2,0.090554
1,3,206,3,0.093028
